id,created_date,is_active,last_login,role,signup_source,state
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.8,true,2021-01-03 15:25:37.858,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.8,true,2021-01-03 15:25:37.858,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.8,true,2021-01-03 15:25:37.858,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,2021-01-03 15:25:30.554,true,2021-01-03 15:25:30.597,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.8,true,2021-01-03 15:25:37.858,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.8,true,2021-01-03 15:25:37.858,consumer,Email,WI
5ff1e1e8cfcf6c399c274ad9,2021-01-03 15:25:28.354,true,2021-01-03 15:25:28.392,consumer,Email,WI
5ff1e1b7cfcf6c399c274a5a,2021-01-03 15:24:39.626,true,2021-01-03 15:24:39.665,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.8,true,2021-01-03 15:25:37.858,consumer,Email,WI
5ff1e1f1cfcf6c399c274b0b,2021-01-03 15:25:37.564,true,2021-01-03 15:25:37.599,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.8,true,2021-01-03 15:25:37.858,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,2021-01-03 15:25:30.554,true,2021-01-03 15:25:30.597,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.8,true,2021-01-03 15:25:37.858,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,2021-01-03 15:25:30.554,true,2021-01-03 15:25:30.597,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.8,true,2021-01-03 15:25:37.858,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.8,true,2021-01-03 15:25:37.858,consumer,Email,WI
5ff1e1e4cfcf6c399c274ac3,2021-01-03 15:25:24.656,true,2021-01-03 15:25:24.694,consumer,Email,WI
5ff1e1b4cfcf6c399c274a54,2021-01-03 15:24:36.41,true,2021-01-03 15:24:36.452,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,2021-01-03 15:25:30.554,true,2021-01-03 15:25:30.597,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.8,true,2021-01-03 15:25:37.858,consumer,Email,WI
5ff370c562fde912123a5e0e,2021-01-04 19:47:17.776,true,2021-01-04 19:50:50.563,consumer,Email,WI
5ff36d0362fde912123a5535,2021-01-04 19:31:15.973,true,2021-01-04 19:34:42.944,consumer,Email,WI
5ff36d83135e7011bcb864d6,2021-01-04 19:33:23.244,true,2021-01-04 19:33:23.425,consumer,Email,WI
5ff36c8862fde912123a538a,2021-01-04 19:29:12.943,true,2021-01-04 19:29:13.141,consumer,Email,WI
5ff370c562fde912123a5e0e,2021-01-04 19:47:17.776,true,2021-01-04 19:50:50.563,consumer,Email,WI
5ff36be7135e7011bcb856d3,2021-01-04 19:26:31.239,true,2021-01-04 19:29:52.726,consumer,Email,WI
